"","Accession","Description","PSM","GeneID","SED_1","SED_2","SED_3","SED_4","SED_5","SED_6","SED_7","SED_8","EX_1","EX2","EX_3","EX_4","EX_5","EX_6","EX_7","EX_8"
"37","O00159","Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4",159,"MYO1C",4002,5896.1,4441.1,5381.5,6515.1,3178.6,3830.4,3731,4351.8,3256,2522.3,4399.2,2335.1,4063.6,4402.9,4126.6
"38","P68871","Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2",1762,"HBB",12480.7,13573.5,12963.7,29413.7,22025.2,61663.5,8686,34052.3,9813.6,7848.7,7524.3,7600.3,18521.5,10751.4,12017.3,5913.4
"39","P02671","Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2",247,"FGA",3196.4,3152.4,1908.9,2392.8,3015,4336.7,2103.3,37154.7,2251.7,2766.3,1035,3077.3,1202.3,1924.4,2199.7,1399
"40","P60709","Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",412,"ACTB",7577.3,7860.4,6515.7,8793.2,12592.5,13647.4,7169.2,15388.9,7163.8,5422.8,3702.2,6502.5,6124.4,6929.9,8161.8,5462.9
"41","Q16363","Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4",127,"LAMA4",1764.5,4129,2637.4,3016.5,2157.2,1817.2,2268.9,2688.9,2844.2,1848.9,1469.9,1939.5,1273.7,1919.8,2102.1,1842.6
"42","P06576","ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",139,"ATP5F1B",2125.6,3800.6,2966.5,3054.3,3612,2202,2534.1,3310.1,3709.6,1963.3,2009.9,2460.9,1530.9,2618.8,2654.2,2138.6
"43","P21695","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Homo sapiens OX=9606 GN=GPD1 PE=1 SV=4",213,"GPD1",6852.1,9635.4,8620,9430.1,8952.1,5063.3,5648.7,5930.7,8913.3,4718.7,4391.1,6092.6,3874.2,5993.1,8776.6,5829.9
"44","P35580","Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3",119,"MYH10",1492.2,1884.4,1356.4,1870.9,2302.6,1830.9,1306.3,1327.6,1719.7,1026.2,843.9,1603.5,862.8,1289.6,1489.5,1156.7
"45","Q05469","Hormone-sensitive lipase OS=Homo sapiens OX=9606 GN=LIPE PE=1 SV=4",116,"LIPE",1755.2,2971.1,2496.2,2528,2926.2,1917.5,1835.2,1651.1,2815.1,1515.8,1295.1,1841.7,1256.9,2162.4,2208,1741.6
"46","Q16853","Membrane primary amine oxidase OS=Homo sapiens OX=9606 GN=AOC3 PE=1 SV=3",301,"AOC3",4463.7,6620.6,4935.6,5766.3,7028.5,5006.2,4258.2,5001.5,4250,3567.7,2615.9,4971.8,3355.5,4296.1,5690.4,4375.1
"47","P43121","Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2",151,"MCAM",2369.3,4109.6,2672.7,3702.4,3883.5,2401.9,3002.7,3535.8,3008.5,2268.5,1748,2766.7,2345.8,2641.3,3092.9,2649.6
"48","P06737","Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4",147,"PYGL",4042.5,5049.1,5072.5,7042,7642.5,4028.2,3862.2,2991.2,5390.4,3403.8,2332.5,3662,2440.6,3511.5,4629.2,2498.6
"49","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",176,"HSPA8",3934.7,5078.9,4188.8,6264.9,6777.8,7182.6,3898.9,7328.6,5475.7,2845.4,2797.4,3792.9,3140,3949.6,3842.2,2663.2
"50","P55072","Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4",125,"VCP",1681.5,2486,1760.6,3024.5,2605.1,3623.7,1500.8,3165.4,1881.2,1304.2,1272.8,1813.2,1461.4,1682.8,1817.1,1405.3
"51","O60240","Perilipin-1 OS=Homo sapiens OX=9606 GN=PLIN1 PE=1 SV=2",200,"PLIN1",6357.7,6270.9,3739.7,5130,5493.9,4133.6,4303.4,5533.2,4412.5,3485.6,3022.4,4464.1,2855.1,3641.2,5839,5406.5
"52","P02545","Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1",168,"LMNA",2982.9,4555,2708.1,3350.6,3757.9,4203.7,3866.2,7168.2,1508.9,2001.1,3123.4,4270.6,2030.4,4681.8,4523.1,4237.6
"53","P04040","Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3",200,"CAT",2596.3,4042.2,3507.4,8018.1,7065.6,14568.9,2683.7,8285.8,3414,2006.1,2119.5,2517,4548.3,3057.3,3418.1,2251.9
"54","P02730","Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3",245,"SLC4A1",3821.1,3158.1,2146.8,7794,5307.4,17430,2241.7,12565.8,4480.4,2231.1,1946.6,2048.8,3783.2,2272.9,3078.1,1163
"55","P40939","Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",124,"HADHA",2418.6,4824.3,3373.7,3567.2,4312.5,2737.2,2775.8,3462.4,4399.6,2844.8,2820.5,3450.5,1827.1,3535.1,3611,2771.1
"56","P02042","Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2",1088,"HBD",30389.1,26609.6,24983.7,50808.5,37931.3,121209.9,18095.6,63180.2,19716.1,18823.7,17546.9,18457.2,36805.7,24648.2,29577.9,15033.1
"57","P69905","Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA2 PE=1 SV=2",1000,"HBA2",22658.3,21050.3,20480.2,46439.8,31290.3,125262.3,13682.7,55054.9,14384.7,14828.1,13559.9,13897.4,35142.1,18700.7,20559.2,10212.6
"58","P26038","Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3",128,"MSN",3709.6,4708.3,3195.4,4463.6,5618,4143.1,3369.9,4411.4,3708.9,2421.1,1948.4,3031.3,2258.9,3457.5,3766,2860.9
"59","P68371","Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1",167,"TUBB4B",3336.2,4313.8,3515.6,4322.6,5187.7,3582.5,3186.4,2857,3722.8,2602.5,1928.1,3433,2441.4,3382.4,4268.2,2801.7
"60","P01009","Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3",245,"SERPINA1",7403.2,11314.2,11325.2,18360.1,14563.1,13091.5,5883.9,6659,11489,10793.5,3191.1,6561.8,5667.7,6064.1,9214.9,5074.4
"61","P15090","Fatty acid-binding protein, adipocyte OS=Homo sapiens OX=9606 GN=FABP4 PE=1 SV=3",541,"FABP4",5342.9,12241.5,12317,9965.8,12609.8,9059.9,7211.3,10976.2,10556.7,6115.9,4983.8,6209.4,5469.8,9146.3,10221.2,7545.9
"62","P00734","Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2",106,"F2",1181.6,931.7,926.9,1952.3,2483.5,5509.9,852.8,5109.9,1285.2,1349.7,575.5,847.4,2281.8,722.2,1546.2,537.8
"63","P33121","Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens OX=9606 GN=ACSL1 PE=1 SV=1",128,"ACSL1",2500.8,4761,4492.6,3984.2,4198,2983.9,4201.8,3651.5,5384,2290.2,3214.9,2133,1823,3861.7,3883.1,2949.6
"64","P07437","Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2",165,"TUBB",615.1,755.4,647.4,719.9,1250.3,734.1,620.5,485.1,686,460.8,393.3,633.6,469.5,699.9,823.1,546.8
"65","Q07954","Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2",100,"LRP1",1060.7,1643.3,1084,1488.8,2258.6,1366.5,1237.1,1511.5,1494,758.1,740.7,1073.1,883,1085.4,1365,977.6
"66","P00450","Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1",113,"CP",1354,2360,2112.3,3444.1,3387.4,2572.8,1074.7,2224.1,2774.2,2787.2,851.9,1307.5,1012.1,1276.3,1426.1,843.8
"67","P23141","Liver carboxylesterase 1 OS=Homo sapiens OX=9606 GN=CES1 PE=1 SV=2",142,"CES1",5184.5,3979.6,3140.4,6905.3,5449.8,2304,2972.5,3000.4,3373.2,4313,1861.2,3762.8,3640.4,2418.6,3620.1,1511.5
"68","P46940","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1",95,"IQGAP1",1199.5,1360,1035.1,1312.8,1775.7,1299,1068.4,1400.6,1208.5,745.8,753.6,1104.1,790.2,1274.1,1369.9,991
"69","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",182,"GAPDH",3714.2,4389.8,3736,5739.1,7689.6,8942.1,3312.7,7687.4,4410.7,2301.1,2126.9,3207.3,3330.8,3426.4,3270.3,2285.9
"70","P00915","Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2",572,"CA1",6837,9359.4,7665.3,22438.1,18498.6,31838,5679.5,27922.2,5297.4,2925.6,2799.9,4486.1,12979.3,6287.3,6250.9,3579.2
"71","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",109,"HSPD1",2696.3,4717.7,3238.9,3482.4,3836.2,2538.7,2697,3152.2,4747.5,2559.8,2735.9,3452.4,1641.8,2885.1,3241.3,2386.1
"72","P05091","Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",136,"ALDH2",3626,6862.7,4625.8,2640,7199.7,4022.5,4496.4,5266.4,5846.1,2956.7,2912.9,3603.9,3360.2,4952.3,4603.8,3353.3
"73","P27816","Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3",126,"MAP4",2806.5,3089.9,2667.7,3254,4939,2992.4,2578.3,2627.6,2967.8,2161.5,1529.1,3158.2,1799.5,2824.3,3773.9,2093.6
"74","P08603","Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4",95,"CFH",1049.3,1326.1,1378.5,2197.7,2564.9,1962.9,1051.9,2247,1257.7,1050.7,749.4,825.1,864.5,1060.6,1153.5,615.7
"75","Q9BSJ8","Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1",93,"ESYT1",1603.1,2366,1780.1,1981,1813.4,1519.3,1420.8,1797.6,1982.7,1521.7,1036.8,1697.8,965,1431.4,2207.4,1314.2
"76","P00558","Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3",129,"PGK1",2790.5,3858.3,3612.9,4305.1,5102.3,4556.4,2418.9,5117.4,3361,2147.9,1691.9,2611.4,2389.6,2880.8,2836.5,2381.2
"77","P06396","Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1",124,"GSN",2015.4,2105.3,2194,3081.9,5314.6,4071.8,1414.6,4268.5,1850.6,1391.7,1266.9,1961.3,1874.6,2731.9,2676.8,1691.2
"78","P04075","Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2",163,"ALDOA",3593.8,5210,4233.8,5997,6353.3,5728.9,3321.1,6236.6,4806.6,3023.4,2225.3,3354.3,3084,3918.4,4465.8,2986.4
"79","P07355","Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2",331,"ANXA2",8316.3,10376.3,7300,9161.9,13249.6,7852.2,9115.8,9870.1,6210.4,6446.6,4557.7,9211.2,5875.7,8967.5,10697.7,7669.6
"80","P07996","Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2",89,"THBS1",966.3,571.5,514.1,848.8,1780.9,2898.9,605.4,7543.3,584.8,740.5,210,563.7,802.9,480.4,471.5,145.9
"81","P00352","Aldehyde dehydrogenase 1A1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2",117,"ALDH1A1",2252.9,3278.1,2750,5233.5,3705.4,4943.5,3050.5,4537.1,2221.5,1429.7,1192.4,2618.2,2645.9,2245.6,3356.9,1240.4
"82","P25705","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",122,"ATP5F1A",2326.1,3908.4,2925.3,3327.6,3891.8,2383.7,2534.6,3307.6,3954.2,1964.7,2296.2,2590.6,1499.4,2809.5,2657.2,2110.6
"83","O00763","Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3",103,"ACACB",968.2,3566,1922.7,1938.1,1736.7,1496.8,1170.4,1434.1,3062.9,1011.1,1103.6,1222.6,705.7,1520.6,1468.1,997.3
"84","P08238","Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",111,"HSP90AB1",2639.4,3953.1,3193.9,3881.2,3998.4,3656.5,2411.2,3963.4,4804,2056.9,2018.8,2790.8,1822.7,2801.8,2850.1,1843
"85","Q13885","Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1",143,"TUBB2A",272.7,256,229.2,300.4,506.8,251.9,228,158.5,231.8,164.7,119.6,286.1,159.3,238.3,252.8,148.4
"86","P11498","Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",90,"PC",800.3,2461,1532.4,1357.6,1706.9,815.6,1004.1,880.6,4192.7,791.4,1154.3,1232.2,632.3,1021.3,1356.4,937
"87","P06733","Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2",136,"ENO1",3476.9,3563.6,3465.4,4259.7,5947.8,4430,2614.4,4528.4,4133.3,2519.9,1937.3,2934.1,2391.9,2911.3,3175.7,2350.7
"88","P02751","Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5",92,"FN1",576.6,589.8,584.9,937,1164.7,907.9,779,3305.8,502.6,380.5,302.5,388.4,455,692.2,736.4,340.1
"89","P11021","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",120,"HSPA5",2335.8,3213.6,2266,3068.9,4166.4,3831.5,2477.7,4625.7,3147.5,1692.6,1663.8,2442.1,1806.4,2474.6,2680.1,1789
"90","P42765","3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",96,"ACAA2",1528.6,2552.9,1891.6,2209.9,2848.6,1496.2,1904.8,1869.2,2470,1239.2,1383.4,1840.6,1058.7,1898.9,2159.2,1757.1
"91","P68032","Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",348,"ACTC1",710.5,665.1,548.9,753.2,887.6,898.6,671.7,945.1,779.7,610.5,468,759.4,420.1,640.5,850.6,600.3
"92","P22314","Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3",85,"UBA1",1165.4,1591.1,1334.1,1948.7,1894.4,1957.4,886.1,1724.6,1341.1,866.9,739.1,962.8,847.5,932.2,1045.9,714
"93","P02774","Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2",111,"GC",2131,3380.4,3764.2,6206.2,5661.7,2928.3,1944.3,4603.2,3342.5,3408.6,1693.5,2396,1934.2,2405.2,2321.2,1377.9
"94","O75874","Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2",105,"IDH1",2422.6,3603.1,2929.3,3464.1,3276,1833,2062.7,2375.5,4593.8,1897.4,1802.1,2241.7,1215,2174,2418.2,1698.5
"95","P02675","Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2",96,"FGB",645,844.2,461.4,540.3,521.5,425.4,448.2,10663.5,510,553.6,199.4,711.1,214.6,467.1,451.6,387.3
"96","Q14624","Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4",103,"ITIH4",1363.3,1944.5,1902.4,3598.4,2983.7,3340.5,1191.9,3141.5,1879.5,1476.9,725.7,973.6,1123.8,1178.5,1024.8,632
"97","P06744","Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4",117,"GPI",3013.4,4227,3382.1,3637.7,3409.3,2582.8,2097.3,3057.6,4044.7,2134.9,1956.8,2945.6,1509,2186.1,2451.8,1779.4
"98","P14618","Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4",83,"PKM",1595.4,1595.9,1603.6,1730.5,2989,2238.2,1116.9,2727.4,1506.5,986.4,819.5,1389.6,1203.8,1206.2,1336,1007.6
"99","P07900","Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5",116,"HSP90AA1",1385.2,2089,1752.8,2199.1,2045.9,2258.8,1235.3,1871.5,2348.5,1012.6,1127.5,1359,943.4,1353.8,1378.2,981.2
